2026-04-04 17:27:13,349 INFO Loading SWE-bench Lite instance IDs...
2026-04-04 17:27:15,332 INFO Loaded 300 Lite instance IDs
2026-04-04 17:27:15,333 INFO Loading BM25 13K dataset (streaming)...
2026-04-04 17:27:17,871 INFO Filtering BM25 instances to SWE-bench Lite...
2026-04-04 17:27:20,818 INFO Found 300 matching instances in BM25 dataset
Running inference:   3%|▎         | 8/300 [01:34<52:34, 10.80s/it]  2026-04-04 17:28:58,885 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:28:58,886 INFO [9/300] django__django-11001 - patch_len=800, elapsed=3.6s
Running inference:   3%|▎         | 9/300 [01:38<41:26,  8.55s/it]2026-04-04 17:29:01,882 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:01,883 INFO [10/300] django__django-11019 - patch_len=432, elapsed=3.0s
Running inference:   3%|▎         | 10/300 [01:41<33:01,  6.83s/it]2026-04-04 17:29:13,536 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:13,537 INFO [11/300] django__django-11039 - patch_len=2923, elapsed=11.7s
Running inference:   4%|▎         | 11/300 [01:52<40:01,  8.31s/it]2026-04-04 17:29:19,691 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:19,692 INFO [12/300] django__django-11049 - patch_len=944, elapsed=6.2s
Running inference:   4%|▍         | 12/300 [01:58<36:44,  7.65s/it]2026-04-04 17:29:25,664 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:25,665 INFO [13/300] django__django-11099 - patch_len=1100, elapsed=6.0s
Running inference:   4%|▍         | 13/300 [02:04<34:10,  7.14s/it]2026-04-04 17:29:32,530 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:32,574 INFO [14/300] django__django-11133 - patch_len=1486, elapsed=6.9s
Running inference:   5%|▍         | 14/300 [02:11<33:42,  7.07s/it]2026-04-04 17:29:41,242 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:41,242 INFO [15/300] django__django-11179 - patch_len=2078, elapsed=8.7s
Running inference:   5%|▌         | 15/300 [02:20<35:52,  7.55s/it]2026-04-04 17:29:44,434 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:44,434 INFO [16/300] django__django-11283 - patch_len=606, elapsed=3.2s
Running inference:   5%|▌         | 16/300 [02:23<29:32,  6.24s/it]2026-04-04 17:29:48,026 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:48,028 INFO [17/300] django__django-11422 - patch_len=605, elapsed=3.6s
Running inference:   6%|▌         | 17/300 [02:27<25:40,  5.44s/it]2026-04-04 17:29:52,361 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:52,362 INFO [18/300] django__django-11564 - patch_len=973, elapsed=4.3s
Running inference:   6%|▌         | 18/300 [02:31<24:01,  5.11s/it]2026-04-04 17:29:55,336 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:29:55,337 INFO [19/300] django__django-11583 - patch_len=445, elapsed=3.0s
Running inference:   6%|▋         | 19/300 [02:34<20:55,  4.47s/it]2026-04-04 17:30:07,883 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:30:07,885 INFO [20/300] django__django-11620 - patch_len=3784, elapsed=12.5s
Running inference:   7%|▋         | 20/300 [02:47<32:10,  6.90s/it]2026-04-04 17:30:22,609 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:30:22,610 INFO [21/300] django__django-11630 - patch_len=4161, elapsed=14.7s
Running inference:   7%|▋         | 21/300 [03:01<42:59,  9.25s/it]2026-04-04 17:31:31,498 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:31:36,715 INFO [22/300] django__django-11742 - patch_len=17363, elapsed=74.1s
Running inference:   7%|▋         | 22/300 [04:15<2:13:01, 28.71s/it]2026-04-04 17:31:49,988 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:31:49,988 INFO [23/300] django__django-11797 - patch_len=2198, elapsed=13.3s
Running inference:   8%|▊         | 23/300 [04:29<1:51:09, 24.08s/it]2026-04-04 17:31:53,172 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:31:53,173 INFO [24/300] django__django-11815 - patch_len=537, elapsed=3.2s
Running inference:   8%|▊         | 24/300 [04:32<1:21:55, 17.81s/it]2026-04-04 17:31:59,167 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:31:59,167 INFO [25/300] django__django-11848 - patch_len=1069, elapsed=6.0s
Running inference:   8%|▊         | 25/300 [04:38<1:05:22, 14.26s/it]2026-04-04 17:32:02,615 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:32:02,615 INFO [26/300] django__django-11905 - patch_len=640, elapsed=3.4s
Running inference:   9%|▊         | 26/300 [04:41<50:19, 11.02s/it]  2026-04-04 17:33:10,152 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:33:10,153 INFO [27/300] django__django-11910 - patch_len=18256, elapsed=67.5s
Running inference:   9%|▉         | 27/300 [05:49<2:07:17, 27.98s/it]2026-04-04 17:33:14,019 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:33:14,019 INFO [28/300] django__django-11964 - patch_len=714, elapsed=3.9s
Running inference:   9%|▉         | 28/300 [05:53<1:34:01, 20.74s/it]2026-04-04 17:33:30,702 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:33:30,703 INFO [29/300] django__django-11999 - patch_len=4300, elapsed=16.7s
Running inference:  10%|▉         | 29/300 [06:09<1:28:11, 19.52s/it]2026-04-04 17:33:34,505 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:33:34,506 INFO [30/300] django__django-12113 - patch_len=531, elapsed=3.8s
Running inference:  10%|█         | 30/300 [06:13<1:06:38, 14.81s/it]2026-04-04 17:34:38,042 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:34:38,043 INFO [31/300] django__django-12125 - patch_len=15815, elapsed=63.5s
Running inference:  10%|█         | 31/300 [07:17<2:11:55, 29.43s/it]2026-04-04 17:35:41,052 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:35:41,053 INFO [32/300] django__django-12184 - patch_len=17308, elapsed=63.0s
Running inference:  11%|█         | 32/300 [08:20<2:56:26, 39.50s/it]2026-04-04 17:36:52,971 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:36:53,015 INFO [33/300] django__django-12284 - patch_len=16941, elapsed=72.0s
Running inference:  11%|█         | 33/300 [09:32<3:39:07, 49.24s/it]2026-04-04 17:36:59,211 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:36:59,212 INFO [34/300] django__django-12286 - patch_len=947, elapsed=6.2s
Running inference:  11%|█▏        | 34/300 [09:38<2:41:03, 36.33s/it]2026-04-04 17:37:03,239 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:37:03,239 INFO [35/300] django__django-12308 - patch_len=746, elapsed=4.0s
Running inference:  12%|█▏        | 35/300 [09:42<1:57:38, 26.64s/it]2026-04-04 17:37:16,363 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:37:16,364 INFO [36/300] django__django-12453 - patch_len=1372, elapsed=13.1s
Running inference:  12%|█▏        | 36/300 [09:55<1:39:22, 22.58s/it]2026-04-04 17:38:23,914 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:38:23,915 INFO [37/300] django__django-12470 - patch_len=16291, elapsed=67.6s
Running inference:  12%|█▏        | 37/300 [11:03<2:38:07, 36.07s/it]2026-04-04 17:38:27,847 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:38:27,847 INFO [38/300] django__django-12497 - patch_len=759, elapsed=3.9s
Running inference:  13%|█▎        | 38/300 [11:07<1:55:25, 26.43s/it]2026-04-04 17:38:52,154 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:38:52,155 INFO [39/300] django__django-12589 - patch_len=6411, elapsed=24.3s
Running inference:  13%|█▎        | 39/300 [11:31<1:52:12, 25.79s/it]2026-04-04 17:38:59,454 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:38:59,455 INFO [40/300] django__django-12700 - patch_len=1685, elapsed=7.3s
Running inference:  13%|█▎        | 40/300 [11:38<1:27:43, 20.25s/it]2026-04-04 17:39:03,733 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:39:03,733 INFO [41/300] django__django-12708 - patch_len=881, elapsed=4.3s
Running inference:  14%|█▎        | 41/300 [11:42<1:06:43, 15.46s/it]2026-04-04 17:39:07,507 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:39:07,508 INFO [42/300] django__django-12747 - patch_len=793, elapsed=3.8s
Running inference:  14%|█▍        | 42/300 [11:46<51:23, 11.95s/it]  2026-04-04 17:39:12,264 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:39:12,264 INFO [43/300] django__django-12856 - patch_len=1116, elapsed=4.8s
Running inference:  14%|█▍        | 43/300 [11:51<41:56,  9.79s/it]2026-04-04 17:39:16,051 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:39:16,052 INFO [44/300] django__django-12908 - patch_len=688, elapsed=3.8s
Running inference:  15%|█▍        | 44/300 [11:55<34:05,  7.99s/it]2026-04-04 17:39:22,729 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:39:22,730 INFO [45/300] django__django-12915 - patch_len=1551, elapsed=6.7s
Running inference:  15%|█▌        | 45/300 [12:01<32:17,  7.60s/it]2026-04-04 17:39:24,973 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:39:24,973 INFO [46/300] django__django-12983 - patch_len=264, elapsed=2.2s
Running inference:  15%|█▌        | 46/300 [12:04<25:21,  5.99s/it]2026-04-04 17:39:36,170 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:39:36,171 INFO [47/300] django__django-13028 - patch_len=2670, elapsed=11.2s
Running inference:  16%|█▌        | 47/300 [12:15<31:50,  7.55s/it]2026-04-04 17:39:41,873 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:39:41,874 INFO [48/300] django__django-13033 - patch_len=1518, elapsed=5.7s
Running inference:  16%|█▌        | 48/300 [12:21<29:23,  7.00s/it]2026-04-04 17:40:50,130 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:40:50,131 INFO [49/300] django__django-13158 - patch_len=17863, elapsed=68.3s
Running inference:  16%|█▋        | 49/300 [13:29<1:46:09, 25.38s/it]2026-04-04 17:40:54,681 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:40:54,682 INFO [50/300] django__django-13220 - patch_len=877, elapsed=4.6s
Running inference:  17%|█▋        | 50/300 [13:33<1:19:42, 19.13s/it]2026-04-04 17:40:57,427 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:40:57,428 INFO [51/300] django__django-13230 - patch_len=400, elapsed=2.7s
Running inference:  17%|█▋        | 51/300 [13:36<58:59, 14.21s/it]  2026-04-04 17:41:10,581 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:41:10,582 INFO [52/300] django__django-13265 - patch_len=3524, elapsed=13.2s
Running inference:  17%|█▋        | 52/300 [13:49<57:26, 13.90s/it]2026-04-04 17:41:20,701 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:41:20,701 INFO [53/300] django__django-13315 - patch_len=2353, elapsed=10.1s
Running inference:  18%|█▊        | 53/300 [13:59<52:32, 12.76s/it]2026-04-04 17:41:31,584 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:41:31,584 INFO [54/300] django__django-13321 - patch_len=2407, elapsed=10.9s
Running inference:  18%|█▊        | 54/300 [14:10<50:00, 12.20s/it]2026-04-04 17:42:39,559 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:42:39,560 INFO [55/300] django__django-13401 - patch_len=16646, elapsed=68.0s
Running inference:  18%|█▊        | 55/300 [15:18<1:58:08, 28.93s/it]2026-04-04 17:42:46,266 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:42:46,267 INFO [56/300] django__django-13447 - patch_len=1478, elapsed=6.7s
Running inference:  19%|█▊        | 56/300 [15:25<1:30:32, 22.26s/it]2026-04-04 17:42:48,974 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:42:48,974 INFO [57/300] django__django-13448 - patch_len=467, elapsed=2.7s
Running inference:  19%|█▉        | 57/300 [15:28<1:06:24, 16.40s/it]2026-04-04 17:42:53,844 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:42:53,845 INFO [58/300] django__django-13551 - patch_len=993, elapsed=4.9s
Running inference:  19%|█▉        | 58/300 [15:33<52:11, 12.94s/it]  2026-04-04 17:43:08,980 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:43:08,997 INFO [59/300] django__django-13590 - patch_len=4437, elapsed=15.2s
Running inference:  20%|█▉        | 59/300 [15:48<54:38, 13.60s/it]2026-04-04 17:43:16,822 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:43:16,822 INFO [60/300] django__django-13658 - patch_len=882, elapsed=7.8s
Running inference:  20%|██        | 60/300 [15:56<47:28, 11.87s/it]2026-04-04 17:43:20,620 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:43:20,621 INFO [61/300] django__django-13660 - patch_len=666, elapsed=3.8s
Running inference:  20%|██        | 61/300 [15:59<37:38,  9.45s/it]2026-04-04 17:44:10,148 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:44:10,150 INFO [62/300] django__django-13710 - patch_len=12346, elapsed=49.5s
Running inference:  21%|██        | 62/300 [16:49<1:25:10, 21.47s/it]2026-04-04 17:44:12,884 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:44:12,884 INFO [63/300] django__django-13757 - patch_len=385, elapsed=2.7s
Running inference:  21%|██        | 63/300 [16:52<1:02:36, 15.85s/it]2026-04-04 17:44:28,440 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:44:28,440 INFO [64/300] django__django-13768 - patch_len=380, elapsed=15.6s
Running inference:  21%|██▏       | 64/300 [17:07<1:01:59, 15.76s/it]2026-04-04 17:44:34,841 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:44:34,841 INFO [65/300] django__django-13925 - patch_len=1550, elapsed=6.4s
Running inference:  22%|██▏       | 65/300 [17:14<50:44, 12.95s/it]  2026-04-04 17:44:43,683 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:44:43,683 INFO [66/300] django__django-13933 - patch_len=2170, elapsed=8.8s
Running inference:  22%|██▏       | 66/300 [17:22<45:42, 11.72s/it]2026-04-04 17:44:46,312 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:44:46,313 INFO [67/300] django__django-13964 - patch_len=454, elapsed=2.6s
Running inference:  22%|██▏       | 67/300 [17:25<34:55,  8.99s/it]2026-04-04 17:44:52,561 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:44:52,561 INFO [68/300] django__django-14016 - patch_len=1319, elapsed=6.2s
Running inference:  23%|██▎       | 68/300 [17:31<31:35,  8.17s/it]2026-04-04 17:44:56,666 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:44:56,667 INFO [69/300] django__django-14017 - patch_len=738, elapsed=4.1s
Running inference:  23%|██▎       | 69/300 [17:35<26:45,  6.95s/it]2026-04-04 17:45:00,609 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:45:00,610 INFO [70/300] django__django-14155 - patch_len=672, elapsed=3.9s
Running inference:  23%|██▎       | 70/300 [17:39<23:11,  6.05s/it]2026-04-04 17:45:03,602 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:45:03,602 INFO [71/300] django__django-14238 - patch_len=491, elapsed=3.0s
Running inference:  24%|██▎       | 71/300 [17:42<19:35,  5.13s/it]2026-04-04 17:45:12,696 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:45:12,697 INFO [72/300] django__django-14382 - patch_len=2310, elapsed=9.1s
Running inference:  24%|██▍       | 72/300 [17:51<24:01,  6.32s/it]2026-04-04 17:45:28,583 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:45:28,584 INFO [73/300] django__django-14411 - patch_len=3593, elapsed=15.9s
Running inference:  24%|██▍       | 73/300 [18:07<34:46,  9.19s/it]2026-04-04 17:45:31,370 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:45:31,371 INFO [74/300] django__django-14534 - patch_len=373, elapsed=2.8s
Running inference:  25%|██▍       | 74/300 [18:10<27:22,  7.27s/it]2026-04-04 17:45:35,704 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:45:35,705 INFO [75/300] django__django-14580 - patch_len=814, elapsed=4.3s
Running inference:  25%|██▌       | 75/300 [18:14<23:57,  6.39s/it]2026-04-04 17:45:55,022 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:45:55,023 INFO [76/300] django__django-14608 - patch_len=4335, elapsed=19.3s
Running inference:  25%|██▌       | 76/300 [18:34<38:19, 10.27s/it]2026-04-04 17:47:16,356 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:47:16,362 INFO [77/300] django__django-14667 - patch_len=14362, elapsed=81.3s
Running inference:  26%|██▌       | 77/300 [19:55<1:57:24, 31.59s/it]2026-04-04 17:47:20,539 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:47:20,540 INFO [78/300] django__django-14672 - patch_len=875, elapsed=4.2s
Running inference:  26%|██▌       | 78/300 [19:59<1:26:27, 23.37s/it]2026-04-04 17:48:21,648 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:48:21,650 INFO [79/300] django__django-14730 - patch_len=16075, elapsed=61.1s
Running inference:  26%|██▋       | 79/300 [21:00<2:07:46, 34.69s/it]2026-04-04 17:48:31,923 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:48:31,923 INFO [80/300] django__django-14752 - patch_len=2908, elapsed=10.3s
Running inference:  27%|██▋       | 80/300 [21:11<1:40:20, 27.36s/it]2026-04-04 17:48:39,264 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:48:39,265 INFO [81/300] django__django-14787 - patch_len=1580, elapsed=7.3s
Running inference:  27%|██▋       | 81/300 [21:18<1:17:57, 21.36s/it]2026-04-04 17:48:42,999 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:48:42,999 INFO [82/300] django__django-14855 - patch_len=794, elapsed=3.7s
Running inference:  27%|██▋       | 82/300 [21:22<58:23, 16.07s/it]  2026-04-04 17:48:50,430 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:48:50,430 INFO [83/300] django__django-14915 - patch_len=1084, elapsed=7.4s
Running inference:  28%|██▊       | 83/300 [21:29<48:44, 13.48s/it]2026-04-04 17:48:54,222 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:48:54,223 INFO [84/300] django__django-14997 - patch_len=791, elapsed=3.8s
Running inference:  28%|██▊       | 84/300 [21:33<38:03, 10.57s/it]2026-04-04 17:48:57,301 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:48:57,302 INFO [85/300] django__django-14999 - patch_len=514, elapsed=3.1s
Running inference:  28%|██▊       | 85/300 [21:36<29:49,  8.32s/it]2026-04-04 17:49:04,630 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:04,631 INFO [86/300] django__django-15061 - patch_len=1525, elapsed=7.3s
Running inference:  29%|██▊       | 86/300 [21:43<28:37,  8.03s/it]2026-04-04 17:49:14,495 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:14,495 INFO [87/300] django__django-15202 - patch_len=579, elapsed=9.9s
Running inference:  29%|██▉       | 87/300 [21:53<30:27,  8.58s/it]2026-04-04 17:49:28,211 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:28,211 INFO [88/300] django__django-15213 - patch_len=2455, elapsed=13.7s
Running inference:  29%|██▉       | 88/300 [22:07<35:45, 10.12s/it]2026-04-04 17:49:31,375 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:31,376 INFO [89/300] django__django-15252 - patch_len=593, elapsed=3.2s
Running inference:  30%|██▉       | 89/300 [22:10<28:14,  8.03s/it]2026-04-04 17:49:39,849 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:39,849 INFO [90/300] django__django-15320 - patch_len=1331, elapsed=8.5s
Running inference:  30%|███       | 90/300 [22:19<28:34,  8.16s/it]2026-04-04 17:49:43,817 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:43,817 INFO [91/300] django__django-15347 - patch_len=893, elapsed=4.0s
Running inference:  30%|███       | 91/300 [22:22<24:03,  6.91s/it]2026-04-04 17:49:49,254 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:49,255 INFO [92/300] django__django-15388 - patch_len=1039, elapsed=5.4s
Running inference:  31%|███       | 92/300 [22:28<22:24,  6.47s/it]2026-04-04 17:49:51,424 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:51,424 INFO [93/300] django__django-15400 - patch_len=326, elapsed=2.2s
